model,query_id,query_text,category,P@10,P@20,P@30,R@30,NDCG@10,NDCG@20,NDCG@30,AP,vocab_size,exec_time_seconds
Hybrid_Weighted_BM25_BGE,0,sales specialist minimum qualifications bachelors degree or equivalent practical experience years of experience in saas or productivity tools businessexperience managing enterprise accounts with sales cycles preferred qualifications years of experience building strategic business partnerships with enterprise customersability to work through and with a reseller ecosystem to scale the businessability to plan pitch and execute a territory business strategyability to build relationships and to deliver results in a crossfunctionalmatrixed environmentability to identify crosspromoting and uppromoting opportunities within the existing account baseexcellent account management writtenverbal communication strategic and analyticalthinking skills about the job as a member of the google cloud team you inspire leading companies schools and government agencies to work smarter with google tools like google workspace search and chrome you advocate the innovative power of our products to make organizations more productive collaborative and mobile your guiding light is doing whats right for the customer you will meet customers exactly where they are at and provide them the best solutions for innovation using your passion for google products you help spread the magic of google to organizations around the world the google workspace team helps customers transform and evolve their business through the use of googles productivity collaboration and content management suite of applications as part of an entrepreneurial team in this growing business you will help shape the future of businesses use technology to connect with customers employees and partners as a google workspace sales specialist you will be responsible for maintenance and expansion of google workspace business growth across the region with customers in this role youll create and execute the strategy and provide unique insights on applying google workspace solutions to enterprisesyou will build an excellent pipeline and work with the account teams to build out the customer solution and establish partnerships you will strategize with partners to increase account and territory business growth you will work directly with customers coordinate internal resources and construct successful strategies at account and territory level google cloud accelerates organizations ability to digitally transform their business with the best infrastructure platform industry solutions and expertise we deliver enterprisegrade solutions that leverage googles cuttingedge technology all on the cleanest cloud in the industry customers in more than countries and territories turn to google cloud as their trusted partner to enable growth and solve their most critical business problems,SALES,0.2,0.25,0.23333333333333334,0.0603448275862069,0.14465249243306436,0.19732542674463302,0.19823385466803847,0.014129825608954465,Hybrid,355.2021904379999
Hybrid_Weighted_BM25_BGE,1,apple solutions consultant description as an asc you will be highly influential in growing mind and market share of apple products while building longterm relationships with those who share your passion customer experiences are driven through you and your partner team growing in an ever changing and challenging environment you strive for perfection whether its maintaining visual merchandising or helping to grow and develop your partner team qualifications a passion to help people understand how apple products can enrich their livesexcellent communication skills allowing you to be as comfortable in front of a small group as you are speaking with individuals years preferred working in a dynamic sales andor results driven environment as well as proven success developing customer loyaltyability to encourage a partner team and grow apple business,CONSULTANT,0.4,0.3,0.3333333333333333,0.08695652173913043,0.5541432109622958,0.4312889730807988,0.42488295952582644,0.0520419341213292,Hybrid,355.2021904379999
Hybrid_Weighted_BM25_BGE,2,web designer description web designers looking to expand your professional reach welcome to robert half marketing creative start the process with robert half today we are searching for highly skilled web designers with experience working within corporate brand standards and guidelines the ideal candidates would have advanced skills in creating wireframes designing mobile applications landing pages interactive sites qa testing experience working with various interfaces and familiarity with uxui design principles candidates are expected to have strong skills in adobe photoshop illustrator and indesign any experience in html css and javascript is a major plus familiarity with content management systems is highly preferred there is nothing more satisfying when looking for freelance and fulltime creative opportunities than working with someone who knows your area of expertise as industry professionals robert half marketing creative is a team that puts your needs first and effectively represents you as a creative talent thats the kind of service youll receive from our team at robert half we have marketing advertising and creative backgrounds just like yours so were on your side right from the start could you ask for a better support team requirements years experience in a web design role experience working within a clients brand standards or guidelines advanced skill in the adobe creative cloud innovation starts with people robert half is the worlds first and largest specialized talent solutions firm that connects highly qualified job seekers to opportunities at great companies we offer contract temporary and permanent placement solutions for finance and accounting technology marketing and creative legal and administrative and customer support roles robert half puts you in the best position to succeed by advocating on your behalf and promoting you to employers we provide access to top jobs competitive compensation and benefits and free online training stay on top of every opportunity even on the go questions call your local office at robert half will consider qualified applicants with criminal histories in a manner consistent with the requirements of the san francisco fair chance ordinance all applicants applying for us job openings must be legally authorized to work in the united states benefits are available to temporary professionals visit robert half an equal opportunity employer mfdisabilityveterans by clicking apply now youre agreeing to,DESIGNER,1.0,0.9,0.8,0.22429906542056074,1.0,0.9329115361528116,0.8570357423577555,0.21552630093109876,Hybrid,355.2021904379999
Hybrid_Weighted_BM25_BGE,3,remote website designer about the position the web designer is responsible for providing designrelated support for clientrelated and internal projects additionally the web designer is responsible for providing designrelated support for projects that are currently in development client review and postlaunch when assigned daytoday collaborate closely with design managers on websiterelated projects including finishing projects that have a set art direction to hand over to the development team work crossfunctionally with content and development teams which includes facilitating design discussions and adjusting existing designswebsites based on client feedback in preparation for the launch of their sites partner with development teams to ensure the implementation of your designs and user experiences are of the highest quality use and evolve our design systemlibrary to craft sketches flows prototypes and highfidelity visuals for client websites and product features work closely with design leadership to inform and improve our processes identifying opportunities for elevating our product and user experience provide designrelated support for postlaunch projects requirements our ideal candidate is detailoriented has an excellent eye for detail and enjoys delivering pixelperfect and welldocumented designs knows how to design websites has experience working with and understanding responsive design patterns and systems is prepared to take the baton and run gladly takes on projects with set art direction and finishes off remaining design production work has design system experience has experience working with scalable design systems within an inhouse design team is a team contributor more than willing to work with design managers to develop the strategy and rationale for features and improvements to internal processes can speak up and be understood has strong verbal and written communication skills which is a must for a remote company can adjust and pivot can navigate and move forward quickly within a fastscaling company and an everevolving creator website tool is hungry to improve gladly welcome feedback on their own performance from design managers along with nondesigners with the intent of professional growth in the company most importantly can joke around a sense of humor is a must in our company our company culture revolves around among other things working hard and laughing harder requirements years of experience as an individual contributor on a web or product design team for desktop and mobile an excellent portfolio showcasing a strong foundation in typography interaction and visual design and ideation bonus props for personal projects that display your design aesthetic and passions solid understanding of building usable accessible ada and modular design systems that can scale bonus props for certification in or related to ada experience facilitating the adoption of visual design andor patterns across a design project excellent understanding of figma and other design tools excellent written and verbal communication skills and ability to clearly communicate design decisions strong organizational skills and a selfstarter benefits remote always generous pto allowance for continuing education or training shiny new gear of your choice apple products medical dental longterm and short term disability insurance companysponsored life insurance dont meet of the qualifications above thats okay apply anyway,DESIGNER,1.0,1.0,0.9333333333333333,0.2616822429906542,1.0,1.0,0.9545758806894791,0.2600685119537843,Hybrid,355.2021904379999
Hybrid_Weighted_BM25_BGE,4,web designer job description zander insurance group is one of the largest direct marketers of insurance and identity theft solutions services in america our company was founded more than years ago with the mission to protect families today millions of visitors browse our websites they are a vital way we acquire communicate with and keep our clients the web designer will drive revenue growth through the design and optimization of all clientfacing zander web properties the ideal candidate is comfortable working with highlevel stakeholders and they understand the importance of getting projects done efficiently most importantly the web designer enjoys working and as a result has a positive attitude that contributes to the overall health of the zander culture we are seeking a contributor who thrives while working autonomously asks questions when necessary and problem solves daily this is a fulltime position and includes a competitive salary and comprehensive benefits this position reports directly to the evp of marketing and will be based in our nashville tennessee office with opportunities to work remotely responsibilities include designing compelling direct response websites and digital content that supports the zander brand campaign objectives and drives measurable actions utilizing knowledge of zander products and services to create designs that support an action or campaign goal creating designs that are compatible across multiple devices and screen sizes creating mockups to conceptualize designs and presenting ideas to stakeholders continually improving the existing user experiences and in the process driving revenue growth preproduction image optimization and preparation work with key stakeholders to ensure appropriate review and approvals for all clientfacing sites the ideal candidate years of digital design experience driving online sales or marketing has the ability to communicate effectively with highlevel clients thrives in a fastpaced and teamoriented environment is open to new ideas and able to adapt to changes quickly years of experience with adobe creative suite including photoshop illustrator and indesign sketch has solid experience with ui wireframing has a strong ability to articulate the why when presenting design concepts htmlcss and js experience preferred but not required what we have to offer potential to work from home monthly profits distributions health and dental insurance paid by zander insurance dollarfordollar matching on your k generous paid time off we are an equal opportunity employer applicants are considered for position and are evaluated without regard to mental or physical disability race religion sexual orientation color gender national origin age marital status military or veteran status or any other protected local state or federal status unrelated to the performance of the work involved,DESIGNER,1.0,0.9,0.8333333333333334,0.2336448598130841,1.0,0.9321516989432659,0.8806293045673955,0.22538129277207192,Hybrid,355.2021904379999
Hybrid_Weighted_BM25_BGE,5,chief executive officer ceo consultant company overview exechq is a consulting firm comprised of executives with extensive csuite eg cfo coo cmo ceo etc experience delivering ondemand and costeffective solutions for complex business problems faced by ceos and business owners we offer fractional interim or projectbased services to clients that need a higher level of expertise or experience than they currently have or have the ability to retain on a fulltime basis we believe that every company deserves the right executive we believe that many ceos andor business owners can better focus on their core responsibilities and reach maximum effectiveness when they are able to take off some of their multiple hats delegating these areas of responsibility to trusted business advisors job summary consulting ceo to work with the other principals in our firm to provide the best solutions to our clients across the globe apply your knowledge and expertise gained from your experience as a fulltime or consulting ceo to help business owners andor ceos help their organizations as they need we are looking for ceos with an entrepreneurial spirit who want to work with a firm who treats their consultants as its priority and clients a close second responsibilities and duties apply your skills and knowledge as a chief executive officer to assist your clients as needed with leadership turnarounds taking them to the next level executive coaching building effective teams etc employ our training and coaching to expand your business network build great business relationships followup and help to close leads for new clients that come to your attention able to interact with ceosbusiness owners at a peer level and willing to listen learn ask the relevant questions to determine the core issues in an organization assemble a team of individuals from within the client from our team of csuite level consultants andor from any of our strategic alliance partner firms as needed to bring the best solutions to your client as a principal and consulting ceo within our firm you will interact with other csuiteexperienced individuals who have backgrounds as ceos cfos coos cmos chros cios ctos etc who also have the same mission to bring about the best solutions for our clients qualifications and skills bachelors degree in business accounting or related field required mba or other relevant masters degree preferred five or more years experience as a ceo business owner or equivalent position benefits and perks we offer access to our cigna health insurance plan medical vision and dental various discounts and corporate perks our firm does not have buyin or startup fees and you can retain of revenues billed to clients be part of a fastgrowing entrepreneurial team of csuite executives who are given the autonomy tools training and coaching so you can do whats best for you and your familyand for your clients powered by jazzhr,CONSULTANT,0.5,0.35,0.4,0.10434782608695652,0.38820476264318776,0.3262260668583829,0.3667459880027895,0.04442097715710909,Hybrid,355.2021904379999
Hybrid_Weighted_BM25_BGE,6,chief executive officer healthcare columbus chief executive officer healthcare columbus ohio columbus ohios state capital is known for the scioto mile which is a string of parks on both sides of the scioto river with a huge interactive fountain and trails columbus is home to one of the nations most competitive intercollegiate programs the ohio state buckeyes of ohio state university whether you are looking to relocate or are a current resident job opportunities in columbus are abundant the chief executive officer ceo is accountable for operational oversight of hospital systems and services ideal candidates will have prior leadership experience in a healthcare system and have a passion for improving patient outcomes chief executive officer ceo responsibilities adopts an approach to hospital wide performance improvement to ensure important processes and activities are measured assessed and improved systematically promotes quality outcomes through effective planning and efficient utilization of healthcare resources directs the financial and budgetary performance of the hospital sets the business strategy and promotes the mission vision and values of the organization builds a senior management team successfully meets strategic operational and programmatic goals approved by the governing board creates and promotes a desired culture for the organization supports employee and patient education to enhance knowledge skills and necessary behaviors to facilitate health participates in systemwide policy decisions affecting the hospital collaborates with community leaders and hospitals physicians and facility team members to design services accountable for leadership of all hospital staff delegating and coordinating to achieve quality cost effective outcomes chief executive officer ceo qualifications bachelors degree in healthcare related field minimum masters degree highly preferred years of senior management or executive positions in an acute care or long term acute hospital ability to manage conflict and find creative alternatives to difficult situations current knowledge of state and federal laws and regulations that apply to financial practices in longterm acute care knowledge of regulatory standards and compliance requirements working knowledge and ability to apply professional standards of practice in job situations strong organizational and analytical skills working knowledge of personal computer and software applications used in job functions word processing graphics databases spreadsheets etc,HEALTHCARE,0.7,0.6,0.5666666666666667,0.14782608695652175,0.6156886473955917,0.573402172586682,0.5566392144867784,0.09278281682760019,Hybrid,355.2021904379999
Hybrid_Weighted_BM25_BGE,7,associate software engineering gaming welcome to the world of landbased gaming light wonders gaming team builds cuttingedge technology products and content for the most iconic casinos and operators across the globe position summary job summary the person in this position is responsible for development designing testing coding and integrating softwareembedded products troubleshoots and debugs software defects reviews interprets and executes softwareembedded requirements and specifications essential job functions performs highlevel design and development of assigned embedded related projects creates highlevel andor detailed analysis on the design of various components to be used in the companys gaming and system products tests integrates writes troubleshoots and debugs embedded software applications develops and produces new games while adding to the main game libraries plans codes tests demonstrates and trains fellow engineers on software engineering practices followed by company standards and practices maintains liaison with engineers and other groups such as marketing and sales regarding relevant issues documents all tasks performed solutions to issues and implementation process researches new technologies and incorporates them into new gamingsystems products knowledge skills and abilities strong attention to detail ability to share expertise and train subordinates ability to multitask and work independently good working knowledge and understanding of software modeling in realtime response environments strong problem solving and analytical skills development improvement and analysis of serial communications protocols experience with various operating systems knowledge of software development life cycle job level description accountable for all or significant portion of a function qualifications education bachelors degree in related field years of related experience years of experience to years physical requirements the physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions while performing the duties of this job the employee is regularly required to sit stand walk bend use hands operate a computer and have specific vision abilities to include close and distance vision and ability to adjust focus working with computer and business equipment work conditions light wonder and its affiliates collectively lw are engaged in highly regulated gaming and lottery businesses as a result certain lw employees may among other things be required to obtain a gaming or other licenses undergo background investigations or security checks or meet certain standards dictated by law regulation or contracts in order to ensure lw complies with its regulatory and contractual commitments as a condition to hiring and continuing to employ its employees lw requires all of its employees to meet those requirements that are necessary to fulfill their individual roles as a prerequisite to employment with lw to the extent permitted by law you shall be asked to consent to lw conducting a due diligencebackground investigation on you this job description should not be interpreted as allinclusive it is intended to identify major responsibilities and requirements of the job the employee in this position may be requested to perform other jobrelated tasks and responsibilities than those stated above light wonder is an equal opportunity employer and does not discriminate against applicants due to race color sex age national origin religion sexual orientation gender identity status as a veteran and basis of disability or any other federal state or local protected class if youd like more information about your equal employment opportunity rights as an applicant under the law please click here for eeoc poster,ENGINEERING,0.3,0.35,0.3,0.07627118644067797,0.35314377643380906,0.3704966898328739,0.32991042508728774,0.03058062140470089,Hybrid,355.2021904379999
Hybrid_Weighted_BM25_BGE,8,sales executive job summary under general supervision this position is responsible for adding prospects to their portfolio acquiring new customers and maintaining and growing relationships with preexisting customers this is accomplished through various techniques such as coldcalling prospecting and conducting discovery calls this position focuses on defining the opportunity strategy to sell jb hunt services to the customer and establishing and growing their book of business key responsibilities conduct lead generation activities for new and incremental business including cold calling networking and other opportunity prospecting methods meet with customers and prospective customers to discuss viable opportunities in an effort to understand their business needs identify scope submit a proposal finalize the contract and win the business coordinate with internal teams and the customer to implement the customers solution including participation in kickoff and understanding contractual obligations to facilitate customer needs perform various activities related to opportunity management and monitoring the health of the account which includes but is not limited to customer kpi review revenue quality monitoring watching for additional opportunities contract and pay terms review to ensure adherence to agreement visit prospective and existing customers at their corporate headquarters or other sites as needed requires ability to travel to customer sites to meet customer needs document all sales activities in crm to ensure adherence to policy and process develop sales proposals and present pricing information to customers minimum qualifications high school diplomaged with years of transportationlogistics or relevant sales experience must possess a valid drivers license with a clean motor vehicle record as per jbh standards preferred qualifications bachelors degree in business administrationmanagement supply chain management logistics management communication or related field years working in transportationlogistics sales or other relevant experience knowledge skills abilities ability and willingness to seek out work and the drive to accomplish goals ability to analyze customer activities profiles and information ability to develop sales plans that are futureoriented support business strategy and reflect understanding of emerging as well as existing opportunities and markets ability to establish and maintain healthy working relationships with clients vendors and peers demonstrated ability to manage internal relationships and external partnerships experience translating data into meaningful insights to close business and build credibility knowledge of the activities and responsibilities involved in selling a product or service proficiency with microsoft applications and programs understanding of the importance of meeting or exceeding established targets and ability to drive critical activities to completion education bachelors business administrationmanagement bachelors business communications bachelors logistics management bachelors supply chain management ged required high school required work experience customer serviceaccount manager marketing sales transportationlogistics job opening id sales executive open this job description has been designed to indicate the general nature and level of work performed by employees within this classification it is not designed to contain or be interpreted as a comprehensive inventory of all duties responsibilities and qualifications required of employees assigned to this job to perform this job successfully an individual must be able to perform each essential duty satisfactorily the requirements are representative of the knowledge skill andor ability required reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions,SALES,0.5,0.5,0.6,0.15517241379310345,0.5481540639795446,0.5274941376808334,0.591950591229505,0.08940731001759311,Hybrid,355.2021904379999
Hybrid_Weighted_BM25_BGE,9,sales executive iii client management position type full time type of hire experienced relevant combo of work and education education desired bachelor of commercebusiness travel percentage job descriptionat fis our technology and our people are moving forward we advance the way the world pays banks and invests we believe in building inclusive diverse teams together we innovate to help our colleagues clients and communities succeed if youre ready to grow your career and make an impact in fintech we have one question are you fis about the role as a sales executive client management quota carrier you will collaborate with the csuite level of finance legal and technical groups with a global fintech environment with endless opportunities for success provide industryleading solutions to prospective clients about the team what you will be doing sell products and services manage relationships ensure alignment of client technology and business strategies focus on account retention and continued revenue growth what you will need extensive experience as a sales executive in fintech or financial services at least years of experience interacting and partnering with senior management understanding of investment banking operations technology and change landscape added bonus if you have what we offer you at fis we are as committed to growing our employees careers as our own business we offer opportunities to innovate in fintech inclusive and diverse team atmosphere professional and personal development resources to contribute to your community competitive salary and benefits vaccination requirements notice to all us applicants all employees must be fully vaccinated against covid individuals with a disability including a medical condition or sincerely held religious beliefs or practices that prevent them from getting the vaccine may request an exemption from the vaccine requirement privacy statement fis is committed to protecting the privacy and security of all personal information that we process in order to provide services to our clients for specific information on how fis protects personal information online please see the online privacy notice eeoc statement fis is an equal opportunity employer we evaluate qualified applicants without regard to race color religion sex sexual orientation gender identity marital status genetic information national origin disability veteran status and other protected characteristics the eeo is the law poster is available here supplement document available here for positions located in the us the following conditions apply if you are made a conditional offer of employment you will be required to undergo a drug test ada disclaimer in developing this job description care was taken to include all competencies needed to successfully perform in this position however for americans with disabilities act ada purposes the essential functions of the job may or may not have been described for purposes of ada reasonable accommodation all reasonable accommodation requests will be reviewed and evaluated on a casebycase basis sourcing model recruitment at fis works primarily on a direct sourcing model a relatively small portion of our hiring is through recruitment agencies fis does not accept resumes from recruitment agencies which are not on the preferred supplier list and is not responsible for any related fees for resumes submitted to job postings our employees or any other part of our company pridepass,SALES,0.0,0.1,0.1,0.02586206896551724,0.0,0.07074424175115814,0.07706890795984993,0.0025788387857353374,Hybrid,355.2021904379999
